drugbank_id,uniprot_id,protein_emb_path
DB00143,O60760,embeddings/O60760/7JR8_A.cif.pt
DB00143,P08263,embeddings/P08263/6ATR_A.cif.pt
DB00143,P09210,embeddings/P09210/2VCT_A.cif.pt
DB00143,P10768,embeddings/P10768/3FCX_A.cif.pt
DB00143,P19440,embeddings/P19440/4GDX_A.cif.pt
DB00143,P28161,embeddings/P28161/2C4J_A.cif.pt
DB00143,P35754,embeddings/P35754/4RQR_A.cif.pt
DB00143,Q16775,embeddings/Q16775/1QH5_A.cif.pt
DB00143,Q99735,embeddings/Q99735/6SSS_A.cif.pt
DB00143,Q9H4Y5,embeddings/Q9H4Y5/3Q18_A.cif.pt
DB00143,Q9NS18,embeddings/Q9NS18/2HT9_A.cif.pt
DB00144,P17252,embeddings/P17252/4DNL_A.cif.pt
DB00144,P48651,embeddings/P48651/9B4E_A.cif.pt
DB00144,Q16760,embeddings/Q16760/3BQ7_A.cif.pt
DB00144,Q9NY59,embeddings/Q9NY59/5UVG_A.cif.pt
DB00144,Q9Y2Q0,embeddings/Q9Y2Q0/6K7L_A.cif.pt
DB00146,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00147,O00764,embeddings/O00764/8WR2_A.cif.pt
DB00148,P06732,embeddings/P06732/1I0E_A.cif.pt
DB00148,P12532,embeddings/P12532/1QK1_A.cif.pt
DB00148,P12277,embeddings/P12277/3B6R_A.cif.pt
DB00148,P17540,embeddings/P17540/4Z9M_A.cif.pt
DB00149,Q9P2J5,embeddings/Q9P2J5/6LPF_A.cif.pt
DB00149,O15382,embeddings/O15382/5MPR_A.cif.pt
DB00149,P54687,embeddings/P54687/7NWA_A.cif.pt
DB00150,P14902,embeddings/P14902/8ABX_A.cif.pt
DB00150,P23381,embeddings/P23381/1R6U_A.cif.pt
DB00150,P00953,embeddings/P00953/1I6K_A.cif.pt
DB00150,Q9UGM6,embeddings/Q9UGM6/5EKD_A.cif.pt
DB00151,P35520,embeddings/P35520/4UUU_A.cif.pt
DB00151,P16455,embeddings/P16455/1QNT_A.cif.pt
DB00151,P48637,embeddings/P48637/8FBZ_A.cif.pt
DB00151,Q9Y600,embeddings/Q9Y600/2JIS_A.cif.pt
DB00151,Q9Y697,embeddings/Q9Y697/6UXE_A.cif.pt
DB00153,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00154,P35354,embeddings/P35354/5F19_A.cif.pt
DB00154,P23219,embeddings/P23219/6Y3C_A.cif.pt
DB00155,P29474,embeddings/P29474/4D1P_A.cif.pt
DB00155,O94760,embeddings/O94760/7USZ_A.cif.pt
DB00155,P00480,embeddings/P00480/1OTH_A.cif.pt
DB00155,P29475,embeddings/P29475/6CID_A.cif.pt
DB00155,P35228,embeddings/P35228/3E7G_A.cif.pt
DB00155,Q9UM07,embeddings/Q9UM07/2DEW_X.cif.pt
DB00155,Q9ULC6,embeddings/Q9ULC6/5HP5_A.cif.pt
DB00155,Q9ULW8,embeddings/Q9ULW8/7D5V_A.cif.pt
DB00155,Q9Y2J8,embeddings/Q9Y2J8/4N2K_A.cif.pt
DB00157,P03897,embeddings/P03897/5XTC_j.cif.pt
DB00157,O60701,embeddings/O60701/5VR8_A.cif.pt
DB00157,P07327,embeddings/P07327/1U3T_A.cif.pt
DB00157,Q00796,embeddings/Q00796/1PL8_A.cif.pt
DB00157,P08319,embeddings/P08319/3COS_A.cif.pt
DB00157,P00326,embeddings/P00326/1U3W_A.cif.pt
DB00157,P00325,embeddings/P00325/1U3U_A.cif.pt
DB00157,P40394,embeddings/P40394/1D1T_A.cif.pt
DB00157,P21695,embeddings/P21695/6E8Y_A.cif.pt
DB00157,P11766,embeddings/P11766/2FZW_A.cif.pt
DB00157,P15121,embeddings/P15121/1US0_A.cif.pt
DB00157,Q99714,embeddings/Q99714/2O23_A.cif.pt
DB00157,P40926,embeddings/P40926/2DFD_A.cif.pt
DB00157,P00338,embeddings/P00338/5W8J_A.cif.pt
DB00157,P23368,embeddings/P23368/9AYI_A.cif.pt
DB00157,P51659,embeddings/P51659/1ZBQ_A.cif.pt
DB00157,P07864,embeddings/P07864/7EPM_A.cif.pt
DB00157,P07195,embeddings/P07195/7DBJ_A.cif.pt
DB00157,Q16836,embeddings/Q16836/1F0Y_A.cif.pt
DB00157,Q16798,embeddings/Q16798/8EYN_A.cif.pt
DB00157,P40925,embeddings/P40925/7RM9_A.cif.pt
DB00157,P31937,embeddings/P31937/2GF2_A.cif.pt
DB00157,P04035,embeddings/P04035/2R4F_A.cif.pt
DB00157,P48163,embeddings/P48163/7X11_A.cif.pt
DB00157,O43175,embeddings/O43175/5NZO_A.cif.pt
DB00157,P51553,embeddings/P51553/6L59_B.cif.pt
DB00157,O43837,embeddings/O43837/8GRD_B.cif.pt
DB00157,P50213,embeddings/P50213/6L59_A.cif.pt
DB00157,P14061,embeddings/P14061/1JTV_A.cif.pt
DB00157,O95479,embeddings/O95479/8EM2_A.cif.pt
DB00157,Q92506,embeddings/Q92506/2PD6_A.cif.pt
DB00157,P17516,embeddings/P17516/2FVL_A.cif.pt
DB00157,P12268,embeddings/P12268/6I0M_A.cif.pt
DB00157,P42330,embeddings/P42330/1S1P_A.cif.pt
DB00157,P15428,embeddings/P15428/2GDZ_A.cif.pt
DB00157,Q13630,embeddings/Q13630/4E5Y_A.cif.pt
DB00157,Q04828,embeddings/Q04828/1MRQ_A.cif.pt
DB00157,P28845,embeddings/P28845/1XU9_A.cif.pt
DB00157,P20839,embeddings/P20839/1JCN_A.cif.pt
DB00157,P40939,embeddings/P40939/6DV2_G.cif.pt
DB00157,P05091,embeddings/P05091/1O04_A.cif.pt
DB00157,P52895,embeddings/P52895/4XO6_A.cif.pt
DB00157,Q15738,embeddings/Q15738/6JKG_A.cif.pt
DB00157,Q02252,embeddings/Q02252/8XXQ_A.cif.pt
DB00157,P30838,embeddings/P30838/3SZA_A.cif.pt
DB00157,P00352,embeddings/P00352/7JWS_A.cif.pt
DB00157,O14556,embeddings/O14556/3H9E_O.cif.pt
DB00157,P49189,embeddings/P49189/6QAP_A.cif.pt
DB00157,P47895,embeddings/P47895/7QK9_A.cif.pt
DB00157,P30837,embeddings/P30837/7MJD_A.cif.pt
DB00157,O94788,embeddings/O94788/6ALJ_A.cif.pt
DB00157,P51648,embeddings/P51648/4QGK_A.cif.pt
DB00157,P51649,embeddings/P51649/2W8N_A.cif.pt
DB00157,P49419,embeddings/P49419/2J6L_A.cif.pt
DB00157,P30043,embeddings/P30043/1HDO_A.cif.pt
DB00157,Q96C36,embeddings/Q96C36/6LHM_A.cif.pt
DB00157,P32322,embeddings/P32322/8TD7_A.cif.pt
DB00157,P00367,embeddings/P00367/1L1F_A.cif.pt
DB00157,P11177,embeddings/P11177/2OZL_B.cif.pt
DB00157,P08559,embeddings/P08559/2OZL_A.cif.pt
DB00157,P53004,embeddings/P53004/2H63_A.cif.pt
DB00157,P16219,embeddings/P16219/2VIG_A.cif.pt
DB00157,P00374,embeddings/P00374/1KMV_A.cif.pt
DB00157,Q02218,embeddings/Q02218/8I0K_A.cif.pt
DB00157,P49448,embeddings/P49448/6G2U_A.cif.pt
DB00157,P16083,embeddings/P16083/4FGL_A.cif.pt
DB00157,P03891,embeddings/P03891/5XTC_i.cif.pt
DB00157,Q9UDR5,embeddings/Q9UDR5/5O1P_A.cif.pt
DB00157,O75251,embeddings/O75251/5XTB_C.cif.pt
DB00157,P11586,embeddings/P11586/1A4I_A.cif.pt
DB00157,P13995,embeddings/P13995/5TC4_A.cif.pt
DB00157,P30038,embeddings/P30038/8RKR_A.cif.pt
DB00157,P00387,embeddings/P00387/1UMK_A.cif.pt
DB00157,Q86Y39,embeddings/Q86Y39/5XTC_V.cif.pt
DB00157,P03905,embeddings/P03905/5XTC_r.cif.pt
DB00157,P09417,embeddings/P09417/1HDR_A.cif.pt
DB00157,P03886,embeddings/P03886/5XTC_s.cif.pt
DB00157,Q13423,embeddings/Q13423/1DJL_A.cif.pt
DB00157,Q16718,embeddings/Q16718/5XTB_H.cif.pt
DB00157,Q16795,embeddings/Q16795/5XTB_J.cif.pt
DB00157,P03901,embeddings/P03901/5XTC_k.cif.pt
DB00157,O95299,embeddings/O95299/5XTC_w.cif.pt
DB00157,O95182,embeddings/O95182/5XTB_I.cif.pt
DB00157,O15239,embeddings/O15239/5XTC_S.cif.pt
DB00157,P03923,embeddings/P03923/5XTC_m.cif.pt
DB00157,P03915,embeddings/P03915/5XTC_l.cif.pt
DB00157,O00483,embeddings/O00483/5Z62_N.cif.pt
DB00157,P56556,embeddings/P56556/5XTB_E.cif.pt
DB00157,O14561,embeddings/O14561/6ODD_A.cif.pt
DB00157,O43678,embeddings/O43678/5XTB_F.cif.pt
DB00157,P51970,embeddings/P51970/5XTC_u.cif.pt
DB00157,O95167,embeddings/O95167/5XTC_U.cif.pt
DB00157,O95169,embeddings/O95169/5XTC_c.cif.pt
DB00157,O95298,embeddings/O95298/5XTC_g.cif.pt
DB00157,O75438,embeddings/O75438/5XTC_n.cif.pt
DB00157,P28331,embeddings/P28331/5XTB_M.cif.pt
DB00157,O96000,embeddings/O96000/5XTC_d.cif.pt
DB00157,O95168,embeddings/O95168/5XTC_o.cif.pt
DB00157,O43676,embeddings/O43676/5XTC_Z.cif.pt
DB00157,O95178,embeddings/O95178/5XTC_Y.cif.pt
DB00157,P17568,embeddings/P17568/5XTD_v.cif.pt
DB00157,Q9Y6M9,embeddings/Q9Y6M9/5XTC_p.cif.pt
DB00157,O75306,embeddings/O75306/5XTB_Q.cif.pt
DB00157,O43674,embeddings/O43674/5XTC_a.cif.pt
DB00157,O43677,embeddings/O43677/5XTC_f.cif.pt
DB00157,O95139,embeddings/O95139/5XTC_b.cif.pt
DB00157,P56181,embeddings/P56181/5XTB_K.cif.pt
DB00157,P09622,embeddings/P09622/6I4R_A.cif.pt
DB00157,O75489,embeddings/O75489/5XTB_P.cif.pt
DB00157,P00390,embeddings/P00390/3DK9_A.cif.pt
DB00157,Q9UI09,embeddings/Q9UI09/5XTB_N.cif.pt
DB00157,O43920,embeddings/O43920/5XTC_h.cif.pt
DB00157,O43181,embeddings/O43181/5XTB_L.cif.pt
DB00157,P49821,embeddings/P49821/5XTB_A.cif.pt
DB00157,P19404,embeddings/P19404/5XTB_O.cif.pt
DB00157,Q9P0J0,embeddings/Q9P0J0/5XTD_W.cif.pt
DB00157,O75380,embeddings/O75380/5XTB_T.cif.pt
DB00157,O00217,embeddings/O00217/5XTB_B.cif.pt
DB00157,P10515,embeddings/P10515/8PIU_A.cif.pt
DB00157,P48728,embeddings/P48728/1WSR_A.cif.pt
DB00157,P09601,embeddings/P09601/1N45_A.cif.pt
DB00157,P30519,embeddings/P30519/5UC9_A.cif.pt
DB00157,P05093,embeddings/P05093/6WR1_A.cif.pt
DB00157,P14679,embeddings/P14679/7RK7_C.cif.pt
DB00158,P41440,embeddings/P41440/7XTK_A.cif.pt
DB00158,P14207,embeddings/P14207/4KMY_A.cif.pt
DB00158,P15328,embeddings/P15328/4KM6_A.cif.pt
DB00159,P35354,embeddings/P35354/5F19_A.cif.pt
DB00159,P23219,embeddings/P23219/6Y3C_A.cif.pt
DB00159,P37231,embeddings/P37231/9F7W_A.cif.pt
DB00159,Q03181,embeddings/Q03181/5U3Q_A.cif.pt
DB00159,O14842,embeddings/O14842/5TZR_A.cif.pt
DB00159,P32418,embeddings/P32418/8SGI_A.cif.pt
DB00159,O15540,embeddings/O15540/6L9O_A.cif.pt
DB00159,Q8NER1,embeddings/Q8NER1/6L93_A.cif.pt
DB00159,Q07869,embeddings/Q07869/6KAX_A.cif.pt
DB00162,P48443,embeddings/P48443/7A79_A.cif.pt
DB00162,P05090,embeddings/P05090/2HZQ_A.cif.pt
DB00162,P41222,embeddings/P41222/4ORR_A.cif.pt
DB00163,Q9UDX3,embeddings/Q9UDX3/4TLG_A.cif.pt
DB00163,Q9UDX4,embeddings/Q9UDX4/4UYB_A.cif.pt
DB00163,O76054,embeddings/O76054/4OMJ_A.cif.pt
DB00163,O75469,embeddings/O75469/9FZJ_A.cif.pt
DB00163,P05771,embeddings/P05771/2I0E_A.cif.pt
DB00163,P09917,embeddings/P09917/7TTK_A.cif.pt
DB00163,P17252,embeddings/P17252/4DNL_A.cif.pt
DB00163,P23743,embeddings/P23743/6IIE_A.cif.pt
DB00163,P67775,embeddings/P67775/4I5L_C.cif.pt
DB00165,O00764,embeddings/O00764/8WR2_A.cif.pt
DB00167,P45954,embeddings/P45954/2JIF_A.cif.pt
DB00167,P54687,embeddings/P54687/7NWA_A.cif.pt
DB00167,O15382,embeddings/O15382/5MPR_A.cif.pt
DB00168,Q8NER1,embeddings/Q8NER1/6L93_A.cif.pt
DB00169,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00170,Q06278,embeddings/Q06278/4UHW_A.cif.pt
DB00170,P00734,embeddings/P00734/5AFY_H.cif.pt
DB00170,P00740,embeddings/P00740/5JB9_S.cif.pt
DB00170,P04070,embeddings/P04070/6M3B_A.cif.pt
DB00170,P07225,embeddings/P07225/1Z6C_A.cif.pt
DB00170,P16083,embeddings/P16083/4FGL_A.cif.pt
DB00170,P15559,embeddings/P15559/8OK0_A.cif.pt
DB00170,P02818,embeddings/P02818/9BUR_B.cif.pt
DB00171,P00519,embeddings/P00519/5HU9_A.cif.pt
DB00171,O95255,embeddings/O95255/6BZS_A.cif.pt
DB00171,O15439,embeddings/O15439/8XOK_A.cif.pt
DB00171,P33527,embeddings/P33527/8VUX_A.cif.pt
DB00171,P42336,embeddings/P42336/8EXL_A.cif.pt
DB00171,P68400,embeddings/P68400/3WAR_A.cif.pt
DB00171,P67870,embeddings/P67870/1QF8_A.cif.pt
DB00171,P53041,embeddings/P53041/4ZX2_A.cif.pt
DB00171,P42684,embeddings/P42684/3HMI_A.cif.pt
DB00171,O95477,embeddings/O95477/7TBW_A.cif.pt
DB00171,Q9UM73,embeddings/Q9UM73/4Z55_A.cif.pt
DB00171,Q13564,embeddings/Q13564/1TT5_A.cif.pt
DB00171,Q13131,embeddings/Q13131/6C9H_A.cif.pt
DB00171,P10398,embeddings/P10398/9AXM_B.cif.pt
DB00171,P37023,embeddings/P37023/3MY0_A.cif.pt
DB00171,P49902,embeddings/P49902/2JC9_A.cif.pt
DB00171,O43681,embeddings/O43681/8CQZ_A.cif.pt
DB00171,P31749,embeddings/P31749/1UNQ_A.cif.pt
DB00171,P25098,embeddings/P25098/3V5W_A.cif.pt
DB00171,O14727,embeddings/O14727/1Z6T_A.cif.pt
DB00171,Q9NUB1,embeddings/Q9NUB1/3GLR_B.cif.pt
DB00171,P36896,embeddings/P36896/7MRZ_C.cif.pt
DB00171,Q04771,embeddings/Q04771/6SRH_A.cif.pt
DB00171,O95342,embeddings/O95342/8PMJ_A.cif.pt
DB00171,Q09428,embeddings/Q09428/7S5V_E.cif.pt
DB00171,Q9Y4W6,embeddings/Q9Y4W6/6NYY_A.cif.pt
DB00171,Q16671,embeddings/Q16671/7L0J_B.cif.pt
DB00171,Q07912,embeddings/Q07912/4HZR_A.cif.pt
DB00171,P08183,embeddings/P08183/8Y6H_A.cif.pt
DB00171,P45844,embeddings/P45844/7R8D_A.cif.pt
DB00171,Q92887,embeddings/Q92887/9C12_A.cif.pt
DB00173,P07741,embeddings/P07741/6FCH_A.cif.pt
DB00173,Q13126,embeddings/Q13126/5TC6_A.cif.pt
DB00173,Q05603,embeddings/Q05603/4KQI_A.cif.pt
DB00173,O00763,embeddings/O00763/3GLK_A.cif.pt
DB00173,P24666,embeddings/P24666/7KH8_A.cif.pt
DB00173,P0AF12,embeddings/P0AF12/4WKC_A.cif.pt
DB00173,Q9BY49,embeddings/Q9BY49/1YXM_A.cif.pt
DB00173,P17802,embeddings/P17802/1KG2_A.cif.pt
DB00173,Q8RLY5,embeddings/Q8RLY5/1S2D_A.cif.pt
DB00173,P78362,embeddings/P78362/7ZKX_A.cif.pt
DB00173,Q5SL87,embeddings/Q5SL87/1HQC_A.cif.pt
DB00174,Q15758,embeddings/Q15758/8OUD_A.cif.pt
DB00174,O43776,embeddings/O43776/8TC8_A.cif.pt
DB00175,P04035,embeddings/P04035/2R4F_A.cif.pt
DB00175,Q92769,embeddings/Q92769/7KBG_A.cif.pt
DB00176,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00176,Q12809,embeddings/Q12809/9CHQ_A.cif.pt
DB00177,P30556,embeddings/P30556/6OS2_A.cif.pt
DB00178,P12821,embeddings/P12821/6H5W_A.cif.pt
DB00178,P46663,embeddings/P46663/7EIB_A.cif.pt
DB00179,P09917,embeddings/P09917/7TTK_A.cif.pt
DB00179,P04626,embeddings/P04626/8VB5_A.cif.pt
DB00179,P04278,embeddings/P04278/1D2S_A.cif.pt
DB00180,P04150,embeddings/P04150/4UDD_A.cif.pt
DB00181,O75899,embeddings/O75899/4MS4_B.cif.pt
DB00181,P61073,embeddings/P61073/3ODU_A.cif.pt
DB00181,Q9UBS5,embeddings/Q9UBS5/4MS4_A.cif.pt
DB00182,Q05940,embeddings/Q05940/8JSW_A.cif.pt
DB00182,Q01959,embeddings/Q01959/9EO4_B.cif.pt
DB00182,Q16568,embeddings/Q16568/1HY9_A.cif.pt
DB00182,Q96RJ0,embeddings/Q96RJ0/8W88_R.cif.pt
DB00182,P21397,embeddings/P21397/2Z5Y_A.cif.pt
DB00182,P35348,embeddings/P35348/8THK_R.cif.pt
DB00182,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00182,P14416,embeddings/P14416/6CM4_A.cif.pt
DB00182,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00183,P32239,embeddings/P32239/7XOW_R.cif.pt
DB00184,P43681,embeddings/P43681/5KXI_A.cif.pt
DB00184,P36544,embeddings/P36544/5AFN_A.cif.pt
DB00184,P17787,embeddings/P17787/5KXI_B.cif.pt
